"variable","value","geoid","geotype"
pop65plp,10.0,BK0503,NTA2020
pop65plp,25.3,BK0504,NTA2020
pop65plp,7.9,BK0505,NTA2020
pop65plp,,BK0571,NTA2020
pop65plp,9.9,BK0601,NTA2020
pop65plp,8.7,BK0602,NTA2020
pop65plp,10.7,BK0701,NTA2020
pop65plp,8.0,BK0702,NTA2020
pop65plp,7.6,BK0703,NTA2020
pop65plp,40.0,BK0771,NTA2020
pop65plp,8.3,BK0801,NTA2020
pop65plp,10.2,BK0802,NTA2020
pop65plp,,BK0891,NTA2020
pop65plp,11.1,BK0901,NTA2020
pop65plp,12.8,BK0902,NTA2020
pop65plp,14.5,BK1001,NTA2020
pop65plp,14.4,BK1002,NTA2020
pop65plp,2.0,BK1061,NTA2020
pop65plp,,BK1091,NTA2020
pop65plp,13.9,BK1101,NTA2020
pop65plp,15.9,BK1102,NTA2020
pop65plp,15.1,BK1103,NTA2020
pop65plp,9.2,BK1201,NTA2020
pop65plp,8.9,BK1202,NTA2020
pop65plp,10.7,BK1203,NTA2020
pop65plp,12.2,BK1204,NTA2020
pop65plp,17.7,BK1301,NTA2020
pop65plp,22.6,BK1302,NTA2020
pop65plp,23.5,BK1303,NTA2020
pop65plp,,BK1391,NTA2020
pop65plp,9.0,BK1401,NTA2020
pop65plp,11.4,BK1402,NTA2020
pop65plp,14.8,BK1403,NTA2020
pop65plp,14.2,BK1501,NTA2020
pop65plp,16.0,BK1502,NTA2020
pop65plp,18.1,BK1503,NTA2020
pop65plp,9.1,BK1601,NTA2020
pop65plp,9.6,BK1602,NTA2020
pop65plp,11.0,BK1701,NTA2020
pop65plp,13.6,BK1702,NTA2020
pop65plp,14.5,BK1703,NTA2020
pop65plp,11.3,BK1704,NTA2020
pop65plp,13.8,BK1771,NTA2020
pop65plp,11.8,BK1801,NTA2020
pop65plp,14.8,BK1802,NTA2020
pop65plp,10.3,BK1803,NTA2020
pop65plp,,BK1891,NTA2020
pop65plp,,BK1892,NTA2020
pop65plp,,BK1893,NTA2020
pop65plp,,BK5591,NTA2020
pop65plp,8.1,BK5691,NTA2020
pop65plp,,BK5692,NTA2020
pop65plp,,BK5693,NTA2020
pop65plp,5.9,MN0101,NTA2020
pop65plp,5.9,MN0102,NTA2020
pop65plp,,MN0191,NTA2020
pop65plp,13.4,MN0201,NTA2020
pop65plp,13.7,MN0202,NTA2020
pop65plp,12.4,MN0203,NTA2020
pop65plp,19.7,MN0301,NTA2020
pop65plp,16.0,MN0302,NTA2020
pop65plp,10.2,MN0303,NTA2020
pop65plp,11.5,MN0401,NTA2020
pop65plp,11.3,MN0402,NTA2020
pop65plp,7.4,MN0501,NTA2020
pop65plp,17.1,MN0502,NTA2020
pop65plp,17.7,MN0601,NTA2020
pop65plp,11.7,MN0602,NTA2020
pop65plp,12.2,MN0603,NTA2020
pop65plp,20.8,MN0604,NTA2020
pop65plp,,MN0661,NTA2020
pop65plp,16.5,MN0701,NTA2020
pop65plp,17.0,MN0702,NTA2020
pop65plp,15.8,MN0703,NTA2020
pop65plp,15.4,MN0801,NTA2020
pop65plp,24.1,MN0802,NTA2020
pop65plp,14.0,MN0803,NTA2020
pop65plp,10.7,MN0901,NTA2020
pop65plp,11.1,MN0902,NTA2020
pop65plp,10.6,MN0903,NTA2020
pop65plp,8.9,MN1001,NTA2020
pop65plp,11.2,MN1002,NTA2020
pop65plp,13.1,MN1101,NTA2020
pop65plp,11.5,MN1102,NTA2020
pop65plp,3.9,MN1191,NTA2020
pop65plp,12.1,MN1201,NTA2020
pop65plp,12.8,MN1202,NTA2020
pop65plp,10.6,MN1203,NTA2020
pop65plp,,MN1291,NTA2020
pop65plp,26.7,MN1292,NTA2020
pop65plp,4.0,MN6491,NTA2020
pop65plp,13.6,QN0101,NTA2020
pop65plp,8.4,QN0102,NTA2020
pop65plp,11.2,QN0103,NTA2020
pop65plp,10.8,QN0104,NTA2020
pop65plp,12.1,QN0105,NTA2020
pop65plp,,QN0161,NTA2020
pop65plp,,QN0171,NTA2020
pop65plp,,QN0191,NTA2020
pop65plp,6.6,QN0201,NTA2020
pop65plp,10.5,QN0202,NTA2020
pop65plp,11.5,QN0203,NTA2020
pop65plp,,QN0261,NTA2020
pop65plp,3.7,QN0271,NTA2020
pop65plp,12.0,QN0301,NTA2020
pop65plp,10.1,QN0302,NTA2020
pop65plp,5.2,QN0303,NTA2020
pop65plp,10.0,QN0401,NTA2020
pop65plp,8.5,QN0402,NTA2020
pop65plp,13.1,QN0501,NTA2020
pop65plp,8.6,QN0502,NTA2020
pop65plp,12.8,QN0503,NTA2020
pop65plp,18.3,QN0504,NTA2020
pop65plp,20.0,QN0571,NTA2020
pop65plp,,QN0572,NTA2020
pop65plp,,QN0573,NTA2020
pop65plp,19.2,QN0574,NTA2020
pop65plp,16.8,QN0601,NTA2020
pop65plp,18.5,QN0602,NTA2020
pop65plp,12.8,QN0701,NTA2020
pop65plp,20.1,QN0702,NTA2020
pop65plp,26.5,QN0703,NTA2020
pop65plp,16.7,QN0704,NTA2020
pop65plp,14.9,QN0705,NTA2020
pop65plp,12.6,QN0706,NTA2020
pop65plp,14.7,QN0707,NTA2020
pop65plp,,QN0761,NTA2020
pop65plp,,QN0791,NTA2020
pop65plp,12.4,QN0801,NTA2020
pop65plp,14.7,QN0802,NTA2020
pop65plp,14.2,QN0803,NTA2020
pop65plp,16.8,QN0804,NTA2020
pop65plp,12.8,QN0805,NTA2020
pop65plp,100.0,QN0871,NTA2020
pop65plp,19.2,QN0891,NTA2020
pop65plp,13.6,QN0901,NTA2020
pop65plp,8.9,QN0902,NTA2020
pop65plp,7.5,QN0903,NTA2020
pop65plp,8.4,QN0904,NTA2020
pop65plp,9.4,QN0905,NTA2020
pop65plp,9.6,QN1001,NTA2020
pop65plp,10.2,QN1002,NTA2020
pop65plp,21.6,QN1003,NTA2020
pop65plp,,QN1091,NTA2020
pop65plp,16.4,QN1101,NTA2020
pop65plp,15.3,QN1102,NTA2020
pop65plp,19.6,QN1103,NTA2020
pop65plp,17.0,QN1104,NTA2020
pop65plp,52.8,QN1191,NTA2020
pop65plp,9.5,QN1201,NTA2020
pop65plp,10.4,QN1202,NTA2020
pop65plp,10.7,QN1203,NTA2020
pop65plp,14.6,QN1204,NTA2020
pop65plp,13.8,QN1205,NTA2020
pop65plp,12.1,QN1206,NTA2020
pop65plp,25.5,QN1301,NTA2020
pop65plp,13.4,QN1302,NTA2020
pop65plp,12.3,QN1303,NTA2020
pop65plp,17.7,QN1304,NTA2020
pop65plp,15.1,QN1305,NTA2020
pop65plp,10.4,QN1306,NTA2020
pop65plp,9.2,QN1307,NTA2020
pop65plp,,QN1371,NTA2020
pop65plp,12.6,QN1401,NTA2020
pop65plp,10.3,QN1402,NTA2020
pop65plp,19.3,QN1403,NTA2020
pop65plp,,QN1491,NTA2020
pop65plp,,QN8081,NTA2020
pop65plp,,QN8191,NTA2020
pop65plp,31.9,QN8291,NTA2020
pop65plp,,QN8381,NTA2020
pop65plp,,QN8491,NTA2020
pop65plp,29.4,QN8492,NTA2020
pop65plp,10.5,SI0101,NTA2020
pop65plp,8.6,SI0102,NTA2020
pop65plp,10.4,SI0103,NTA2020
pop65plp,11.6,SI0104,NTA2020
pop65plp,15.7,SI0105,NTA2020
pop65plp,7.5,SI0106,NTA2020
pop65plp,7.3,SI0107,NTA2020
pop65plp,,SI0191,NTA2020
pop65plp,14.7,SI0201,NTA2020
pop65plp,13.3,SI0202,NTA2020
pop65plp,19.6,SI0203,NTA2020
pop65plp,13.0,SI0204,NTA2020
pop65plp,11.3,SI0291,NTA2020
pop65plp,17.3,SI0301,NTA2020
pop65plp,15.1,SI0302,NTA2020
pop65plp,10.0,SI0303,NTA2020
pop65plp,11.8,SI0304,NTA2020
pop65plp,10.0,SI0305,NTA2020
pop65plp,3.1,SI0391,NTA2020
pop65plp,1.0,SI9561,NTA2020
pop65plp,,SI9591,NTA2020
pop65plp,9.7,SI9592,NTA2020
pop65plp,,SI9593,NTA2020
popacre,55.8,BX0101,NTA2020
popacre,98.9,BX0102,NTA2020
popacre,15.1,BX0201,NTA2020
popacre,107.7,BX0202,NTA2020
popacre,,BX0291,NTA2020
popacre,97.4,BX0301,NTA2020
popacre,96.3,BX0302,NTA2020
popacre,70.6,BX0303,NTA2020
popacre,,BX0391,NTA2020
popacre,110.4,BX0401,NTA2020
popacre,103.7,BX0402,NTA2020
popacre,154.6,BX0403,NTA2020
popacre,,BX0491,NTA2020
popacre,,BX0492,NTA2020
popacre,116.8,BX0501,NTA2020
popacre,155.3,BX0502,NTA2020
popacre,190.1,BX0503,NTA2020
popacre,67.9,BX0601,NTA2020
popacre,84.0,BX0602,NTA2020
popacre,92.1,BX0603,NTA2020
popacre,105.5,BX0701,NTA2020
popacre,111.3,BX0702,NTA2020
popacre,112.4,BX0703,NTA2020
popacre,138.2,BX0801,NTA2020
popacre,79.5,BX0802,NTA2020
popacre,29.8,BX0803,NTA2020
popacre,94.9,BX0901,NTA2020
popacre,49.5,BX0902,NTA2020
popacre,49.7,BX0903,NTA2020
popacre,141.6,BX0904,NTA2020
popacre,0.0,BX0991,NTA2020
popacre,43.5,BX1001,NTA2020
popacre,29.0,BX1002,NTA2020
popacre,34.0,BX1003,NTA2020
popacre,58.7,BX1004,NTA2020
popacre,,BX1071,NTA2020
popacre,0.0,BX1091,NTA2020
popacre,85.6,BX1101,NTA2020
popacre,35.7,BX1102,NTA2020
popacre,39.5,BX1103,NTA2020
popacre,93.9,BX1104,NTA2020
popacre,3.2,BX1161,NTA2020
popacre,66.2,BX1201,NTA2020
popacre,38.6,BX1202,NTA2020
popacre,50.5,BX1203,NTA2020
popacre,,BX1271,NTA2020
popacre,,BX2691,NTA2020
popacre,1.8,BX2791,NTA2020
popacre,0.2,BX2891,NTA2020
popacre,26.8,QN0151,NTA2020
popacre,42.6,BK0101,NTA2020
popacre,69.5,BK0102,NTA2020
popacre,121.0,BK0103,NTA2020
popacre,41.9,BK0104,NTA2020
popacre,99.6,BK0201,NTA2020
popacre,45.1,BK0202,NTA2020
popacre,65.7,BK0203,NTA2020
popacre,71.8,BK0204,NTA2020
popacre,0.0,BK0261,NTA2020
popacre,87.9,BK0301,NTA2020
popacre,81.4,BK0302,NTA2020
popacre,100.9,BK0401,NTA2020
popacre,91.6,BK0402,NTA2020
popacre,0.1,BK0471,NTA2020
popacre,74.2,BK0501,NTA2020
popacre,61.0,BK0502,NTA2020
popacre,44.6,BK0503,NTA2020
popacre,20.7,BK0504,NTA2020
popacre,57.6,BK0505,NTA2020
popacre,0.0,BK0571,NTA2020
popacre,38.8,BK0601,NTA2020
popacre,90.3,BK0602,NTA2020
popacre,64.2,BK0701,NTA2020
popacre,45.4,BK0702,NTA2020
popacre,120.3,BK0703,NTA2020
popacre,0.0,BK0771,NTA2020
popacre,83.9,BK0801,NTA2020
popacre,94.5,BK0802,NTA2020
popacre,,BK0891,NTA2020
popacre,109.5,BK0901,NTA2020
popacre,83.0,BK0902,NTA2020
popacre,57.1,BK1001,NTA2020
popacre,61.9,BK1002,NTA2020
popacre,3.9,BK1061,NTA2020
popacre,,BK1091,NTA2020
popacre,86.0,BK1101,NTA2020
popacre,63.3,BK1102,NTA2020
popacre,71.7,BK1103,NTA2020
popacre,123.9,BK1201,NTA2020
popacre,90.7,BK1202,NTA2020
popacre,100.9,BK1203,NTA2020
popacre,52.0,BK1204,NTA2020
popacre,45.8,BK1301,NTA2020
popacre,45.9,BK1302,NTA2020
popacre,100.9,BK1303,NTA2020
popacre,,BK1391,NTA2020
popacre,123.2,BK1401,NTA2020
popacre,80.1,BK1402,NTA2020
popacre,66.2,BK1403,NTA2020
popacre,63.0,BK1501,NTA2020
popacre,61.9,BK1502,NTA2020
popacre,44.4,BK1503,NTA2020
popacre,69.2,BK1601,NTA2020
popacre,77.3,BK1602,NTA2020
popacre,101.3,BK1701,NTA2020
popacre,60.4,BK1702,NTA2020
popacre,63.1,BK1703,NTA2020
popacre,89.8,BK1704,NTA2020
popacre,0.3,BK1771,NTA2020
popacre,51.8,BK1801,NTA2020
popacre,33.1,BK1802,NTA2020
popacre,51.5,BK1803,NTA2020
popacre,,BK1891,NTA2020
popacre,,BK1892,NTA2020
popacre,,BK1893,NTA2020
popacre,,BK5591,NTA2020
popacre,0.0,BK5691,NTA2020
popacre,,BK5692,NTA2020
popacre,,BK5693,NTA2020
popacre,88.2,MN0101,NTA2020
popacre,68.3,MN0102,NTA2020
popacre,0.1,MN0191,NTA2020
popacre,77.9,MN0201,NTA2020
popacre,133.2,MN0202,NTA2020
popacre,104.1,MN0203,NTA2020
popacre,166.1,MN0301,NTA2020
popacre,125.7,MN0302,NTA2020
popacre,164.1,MN0303,NTA2020
popacre,81.3,MN0401,NTA2020
popacre,106.5,MN0402,NTA2020
popacre,74.8,MN0501,NTA2020
popacre,37.5,MN0502,NTA2020
popacre,161.0,MN0601,NTA2020
popacre,162.8,MN0602,NTA2020
popacre,156.7,MN0603,NTA2020
popacre,137.8,MN0604,NTA2020
popacre,,MN0661,NTA2020
popacre,168.3,MN0701,NTA2020
popacre,169.1,MN0702,NTA2020
popacre,166.7,MN0703,NTA2020
popacre,162.8,MN0801,NTA2020
popacre,132.9,MN0802,NTA2020
popacre,247.1,MN0803,NTA2020
popacre,105.3,MN0901,NTA2020
popacre,93.5,MN0902,NTA2020
popacre,131.8,MN0903,NTA2020
popacre,130.9,MN1001,NTA2020
popacre,132.3,MN1002,NTA2020
popacre,151.5,MN1101,NTA2020
popacre,101.5,MN1102,NTA2020
popacre,3.1,MN1191,NTA2020
popacre,159.8,MN1201,NTA2020
popacre,129.9,MN1202,NTA2020
popacre,115.9,MN1203,NTA2020
popacre,0.0,MN1291,NTA2020
popacre,0.7,MN1292,NTA2020
popacre,0.0,MN6491,NTA2020
popacre,35.5,QN0101,NTA2020
popacre,64.7,QN0102,NTA2020
popacre,103.0,QN0103,NTA2020
popacre,65.5,QN0104,NTA2020
popacre,42.4,QN0105,NTA2020
popacre,0.1,QN0161,NTA2020
popacre,,QN0171,NTA2020
popacre,0.0,QN0191,NTA2020
popacre,17.1,QN0201,NTA2020
popacre,47.9,QN0202,NTA2020
popacre,66.0,QN0203,NTA2020
popacre,,QN0261,NTA2020
popacre,0.1,QN0271,NTA2020
popacre,111.7,QN0301,NTA2020
popacre,46.1,QN0302,NTA2020
popacre,125.2,QN0303,NTA2020
popacre,107.0,QN0401,NTA2020
popacre,126.2,QN0402,NTA2020
popacre,29.3,QN0501,NTA2020
popacre,68.2,QN0502,NTA2020
popacre,47.1,QN0503,NTA2020
popacre,39.5,QN0504,NTA2020
popacre,0.1,QN0571,NTA2020
popacre,0.2,QN0572,NTA2020
popacre,,QN0573,NTA2020
popacre,0.1,QN0574,NTA2020
popacre,61.3,QN0601,NTA2020
popacre,62.9,QN0602,NTA2020
popacre,18.4,QN0701,NTA2020
popacre,22.1,QN0702,NTA2020
popacre,24.1,QN0703,NTA2020
popacre,43.3,QN0704,NTA2020
popacre,44.5,QN0705,NTA2020
popacre,34.3,QN0706,NTA2020
popacre,72.3,QN0707,NTA2020
popacre,,QN0761,NTA2020
popacre,,QN0791,NTA2020
popacre,43.5,QN0801,NTA2020
popacre,39.7,QN0802,NTA2020
popacre,28.0,QN0803,NTA2020
popacre,24.5,QN0804,NTA2020
popacre,57.4,QN0805,NTA2020
popacre,0.0,QN0871,NTA2020
popacre,0.1,QN0891,NTA2020
popacre,50.0,QN0901,NTA2020
popacre,47.5,QN0902,NTA2020
popacre,66.4,QN0903,NTA2020
popacre,58.1,QN0904,NTA2020
popacre,70.3,QN0905,NTA2020
popacre,40.5,QN1001,NTA2020
popacre,37.1,QN1002,NTA2020
popacre,21.6,QN1003,NTA2020
popacre,0.0,QN1091,NTA2020
popacre,26.5,QN1101,NTA2020
popacre,21.7,QN1102,NTA2020
popacre,15.7,QN1103,NTA2020
popacre,25.8,QN1104,NTA2020
popacre,0.1,QN1191,NTA2020
popacre,50.2,QN1201,NTA2020
popacre,42.5,QN1202,NTA2020
popacre,35.1,QN1203,NTA2020
popacre,36.1,QN1204,NTA2020
popacre,28.0,QN1205,NTA2020
popacre,39.8,QN1206,NTA2020
popacre,21.7,QN1301,NTA2020
popacre,20.0,QN1302,NTA2020
popacre,33.0,QN1303,NTA2020
popacre,24.7,QN1304,NTA2020
popacre,26.9,QN1305,NTA2020
popacre,15.6,QN1306,NTA2020
popacre,23.1,QN1307,NTA2020
popacre,0.0,QN1371,NTA2020
popacre,38.8,QN1401,NTA2020
popacre,31.4,QN1402,NTA2020
popacre,15.5,QN1403,NTA2020
popacre,,QN1491,NTA2020
popacre,,QN8081,NTA2020
popacre,0.1,QN8191,NTA2020
popacre,0.2,QN8291,NTA2020
popacre,,QN8381,NTA2020
popacre,,QN8491,NTA2020
popacre,0.0,QN8492,NTA2020
popacre,30.2,SI0101,NTA2020
popacre,29.1,SI0102,NTA2020
popacre,28.7,SI0103,NTA2020
popacre,17.9,SI0104,NTA2020
popacre,17.0,SI0105,NTA2020
popacre,24.8,SI0106,NTA2020
popacre,15.0,SI0107,NTA2020
popacre,0.0,SI0191,NTA2020
popacre,18.9,SI0201,NTA2020
popacre,19.4,SI0202,NTA2020
popacre,7.3,SI0203,NTA2020
popacre,8.5,SI0204,NTA2020
popacre,0.0,SI0291,NTA2020
popacre,17.0,SI0301,NTA2020
popacre,19.7,SI0302,NTA2020
popacre,19.3,SI0303,NTA2020
popacre,9.3,SI0304,NTA2020
popacre,5.8,SI0305,NTA2020
popacre,0.1,SI0391,NTA2020
popacre,3.3,SI9561,NTA2020
popacre,,SI9591,NTA2020
popacre,0.1,SI9592,NTA2020
popacre,,SI9593,NTA2020
hsp1,37869.0,BX0101,NTA2020
hsp1,27094.0,BX0102,NTA2020
hsp1,11325.0,BX0201,NTA2020
hsp1,28511.0,BX0202,NTA2020
hsp1,0.0,BX0291,NTA2020
hsp1,17395.0,BX0301,NTA2020
hsp1,11363.0,BX0302,NTA2020
hsp1,16939.0,BX0303,NTA2020
hsp1,0.0,BX0391,NTA2020
hsp1,39009.0,BX0401,NTA2020
hsp1,20033.0,BX0402,NTA2020
hsp1,32847.0,BX0403,NTA2020
hsp1,0.0,BX0491,NTA2020
hsp1,0.0,BX0492,NTA2020
hsp1,33373.0,BX0501,NTA2020
hsp1,30520.0,BX0502,NTA2020
hsp1,22771.0,BX0503,NTA2020
hsp1,13450.0,BX0601,NTA2020
hsp1,19370.0,BX0602,NTA2020
hsp1,20819.0,BX0603,NTA2020
hsp1,31352.0,BX0701,NTA2020
hsp1,34788.0,BX0702,NTA2020
hsp1,23785.0,BX0703,NTA2020
hsp1,23000.0,BX0801,NTA2020
hsp1,13562.0,BX0802,NTA2020
hsp1,7442.0,BX0803,NTA2020
hsp1,43199.0,BX0901,NTA2020
hsp1,21212.0,BX0902,NTA2020
hsp1,22584.0,BX0903,NTA2020
hsp1,11364.0,BX0904,NTA2020
hsp1,4.0,BX0991,NTA2020
hsp1,9096.0,BX1001,NTA2020
hsp1,18111.0,BX1002,NTA2020
hsp1,7950.0,BX1003,NTA2020
hsp1,9810.0,BX1004,NTA2020
hsp1,0.0,BX1071,NTA2020
hsp1,3.0,BX1091,NTA2020
hsp1,17086.0,BX1101,NTA2020
hsp1,6018.0,BX1102,NTA2020
hsp1,8619.0,BX1103,NTA2020
hsp1,16418.0,BX1104,NTA2020
hsp1,248.0,BX1161,NTA2020
hsp1,14819.0,BX1201,NTA2020
hsp1,10971.0,BX1202,NTA2020
hsp1,8505.0,BX1203,NTA2020
hsp1,0.0,BX1271,NTA2020
hsp1,0.0,BX2691,NTA2020
hsp1,756.0,BX2791,NTA2020
hsp1,149.0,BX2891,NTA2020
hsp1,3779.0,QN0151,NTA2020
hsp1,5099.0,BK0101,NTA2020
hsp1,17268.0,BK0102,NTA2020
hsp1,4277.0,BK0103,NTA2020
hsp1,20364.0,BK0104,NTA2020
hsp1,1675.0,BK0201,NTA2020
hsp1,4381.0,BK0202,NTA2020
hsp1,4828.0,BK0203,NTA2020
hsp1,2973.0,BK0204,NTA2020
hsp1,0.0,BK0261,NTA2020
hsp1,15973.0,BK0301,NTA2020
hsp1,14242.0,BK0302,NTA2020
hsp1,38469.0,BK0401,NTA2020
hsp1,35139.0,BK0402,NTA2020
hsp1,8.0,BK0471,NTA2020
hsp1,27427.0,BK0501,NTA2020
hsp1,14211.0,BK0502,NTA2020
hsp1,9755.0,BK0503,NTA2020
hsp1,2431.0,BK0504,NTA2020
hsp1,13352.0,BK0505,NTA2020
hsp1,0.0,BK0571,NTA2020
hsp1,13098.0,BK0601,NTA2020
hsp1,6780.0,BK0602,NTA2020
hsp1,3814.0,BK0701,NTA2020
hsp1,34296.0,BK0702,NTA2020
hsp1,19086.0,BK0703,NTA2020
hsp1,2.0,BK0771,NTA2020
hsp1,2275.0,BK0801,NTA2020
hsp1,9248.0,BK0802,NTA2020
hsp1,0.0,BK0891,NTA2020
hsp1,4507.0,BK0901,NTA2020
hsp1,4438.0,BK0902,NTA2020
hsp1,12612.0,BK1001,NTA2020
hsp1,4920.0,BK1002,NTA2020
hsp1,244.0,BK1061,NTA2020
hsp1,0.0,BK1091,NTA2020
hsp1,13522.0,BK1101,NTA2020
hsp1,3894.0,BK1102,NTA2020
hsp1,6761.0,BK1103,NTA2020
hsp1,7564.0,BK1201,NTA2020
hsp1,7819.0,BK1202,NTA2020
hsp1,7153.0,BK1203,NTA2020
hsp1,2937.0,BK1204,NTA2020
hsp1,3764.0,BK1301,NTA2020
hsp1,8768.0,BK1302,NTA2020
hsp1,4947.0,BK1303,NTA2020
hsp1,0.0,BK1391,NTA2020
hsp1,13669.0,BK1401,NTA2020
hsp1,7776.0,BK1402,NTA2020
hsp1,3402.0,BK1403,NTA2020
hsp1,4826.0,BK1501,NTA2020
hsp1,2689.0,BK1502,NTA2020
hsp1,5203.0,BK1503,NTA2020
hsp1,5716.0,BK1601,NTA2020
hsp1,11639.0,BK1602,NTA2020
hsp1,4207.0,BK1701,NTA2020
hsp1,2096.0,BK1702,NTA2020
hsp1,1902.0,BK1703,NTA2020
hsp1,2561.0,BK1704,NTA2020
hsp1,1.0,BK1771,NTA2020
hsp1,5753.0,BK1801,NTA2020
hsp1,3583.0,BK1802,NTA2020
hsp1,6941.0,BK1803,NTA2020
hsp1,0.0,BK1891,NTA2020
hsp1,0.0,BK1892,NTA2020
hsp1,0.0,BK1893,NTA2020
hsp1,0.0,BK5591,NTA2020
hsp1,0.0,BK5691,NTA2020
hsp1,0.0,BK5692,NTA2020
hsp1,0.0,BK5693,NTA2020
hsp1,3055.0,MN0101,NTA2020
hsp1,1790.0,MN0102,NTA2020
hsp1,2.0,MN0191,NTA2020
hsp1,1539.0,MN0201,NTA2020
hsp1,1894.0,MN0202,NTA2020
hsp1,2160.0,MN0203,NTA2020
hsp1,6246.0,MN0301,NTA2020
hsp1,15930.0,MN0302,NTA2020
hsp1,18018.0,MN0303,NTA2020
hsp1,9157.0,MN0401,NTA2020
hsp1,8877.0,MN0402,NTA2020
hsp1,1890.0,MN0501,NTA2020
hsp1,1730.0,MN0502,NTA2020
hsp1,1405.0,MN0601,NTA2020
hsp1,2023.0,MN0602,NTA2020
hsp1,5395.0,MN0603,NTA2020
hsp1,2360.0,MN0604,NTA2020
hsp1,0.0,MN0661,NTA2020
hsp1,5317.0,MN0701,NTA2020
hsp1,12256.0,MN0702,NTA2020
hsp1,13999.0,MN0703,NTA2020
hsp1,5862.0,MN0801,NTA2020
hsp1,2834.0,MN0802,NTA2020
hsp1,6867.0,MN0803,NTA2020
hsp1,7365.0,MN0901,NTA2020
hsp1,14413.0,MN0902,NTA2020
hsp1,25324.0,MN0903,NTA2020
hsp1,9145.0,MN1001,NTA2020
hsp1,16547.0,MN1002,NTA2020
hsp1,27499.0,MN1101,NTA2020
hsp1,31242.0,MN1102,NTA2020
hsp1,549.0,MN1191,NTA2020
hsp1,57882.0,MN1201,NTA2020
hsp1,49059.0,MN1202,NTA2020
hsp1,27952.0,MN1203,NTA2020
hsp1,2.0,MN1291,NTA2020
hsp1,81.0,MN1292,NTA2020
hsp1,6.0,MN6491,NTA2020
hsp1,9226.0,QN0101,NTA2020
hsp1,6434.0,QN0102,NTA2020
hsp1,12142.0,QN0103,NTA2020
hsp1,11039.0,QN0104,NTA2020
hsp1,10083.0,QN0105,NTA2020
hsp1,2.0,QN0161,NTA2020
hsp1,0.0,QN0171,NTA2020
hsp1,0.0,QN0191,NTA2020
hsp1,1873.0,QN0201,NTA2020
hsp1,20119.0,QN0202,NTA2020
hsp1,17160.0,QN0203,NTA2020
hsp1,0.0,QN0261,NTA2020
hsp1,26.0,QN0271,NTA2020
hsp1,56445.0,QN0301,NTA2020
hsp1,19367.0,QN0302,NTA2020
hsp1,34270.0,QN0303,NTA2020
hsp1,43916.0,QN0401,NTA2020
hsp1,46467.0,QN0402,NTA2020
hsp1,10507.0,QN0501,NTA2020
hsp1,32536.0,QN0502,NTA2020
hsp1,10855.0,QN0503,NTA2020
